net,length_um
_10263_,1222.35
_06413_,1134.26
_05950_,1051.23
_07122_,1011.56
_05799_,1005.585
_05447_,985.37
_05804_,976.165
_08413_,954.51
_10248_,907.205
_06279_,907.19
_07255_,905.09
_07961_,891.5
_11623_,879.77
_07158_,879.6
net351,877.89
_08445_,874.955
_12477_,873.39
net245,859.69
_07256_,854.59
_07756_,845.68
_07483_,845.47
net174,841.44
_07706_,840.28
_12463_,829.5
_05455_,829.27
_06100_,829.04
net500,825.91
_06862_,825.3
_10241_,823.29
net31,811.82
net80,808.91
_00959_,808.33
_05603_,806.38
_09447_,805.48
_05400_,805.35
net95,805.13
_11711_,793.95
net546,792.85
_10551_,789.97
_09125_,789.91
_10908_,786.09
_05380_,785.85
_08719_,785.7
_05880_,782.15
net23,781.32
_08482_,778.27
_06952_,778.07
net139,772.98
net313,770.7
net554,769.21
_05707_,766.5
net93,765.66
net28,764.12
net456,762.82
_05706_,761.88
_06059_,761.74
_06563_,761.56
net4,759.16
_05703_,757.34
net55,754.07
net550,753.4
net325,752.7
net468,750.76
net222,748.94
_10105_,747.71
net491,747.51
_01448_,745.36
net71,739.61
_06124_,737.05
_05441_,733.84
net101,731.115
clknet_0_clk,729.43
net537,728.25
_07705_,724.64
_06864_,723.4
_10929_,721.5
_06481_,717.76
net596,716.78
_05452_,714.005
net551,713.64
_10775_,711
net255,709.45
net284,707.64
net125,707.13
net171,705.3
net206,704.145
net158,704.08
_05420_,702.76
net509,702.08
net349,701.38
net54,698.28
net257,696.94
net148,695.29
net58,692.73
net355,692.605
net180,691.08
_05389_,689.75
net544,689.74
net36,689.24
net470,688.695
_06056_,686.92
net169,683.7
_05708_,683.2
_06218_,681.89
net377,681.25
_06061_,679.09
net476,678.86
net460,678.72
_06899_,676.97
net57,675.82
net448,671.54
net440,671.44
net278,670.77
_09220_,667.8
net552,665.97
net505,662.49
net147,662.1
net172,659.075
_06253_,657.36
net61,656.27
net432,656.13
net322,653.34
net473,653.24
_00894_,652.46
_11448_,649.96
_10203_,649.5
_06216_,647.62
net56,645.64
net495,643.86
net431,642.295
_08225_,640.16
_06151_,639.9
_02300_,639.44
net290,638.795
net203,638.58
_08716_,635.68
net512,626.245
net463,624.77
net201,624.38
net228,623.49
net602,623.33
net424,621.43
_06099_,621.135
_04629_,620.505
net305,619.86
_07825_,619.59
_05803_,619.47
net397,619.08
net151,618.76
net47,618.52
net200,617.035
net26,616.96
_06060_,612.5
net3,611.82
net353,609.94
net88,608.135
_07260_,607.11
net442,606.26
net94,605.63
net393,604.85
net535,603.18
_01348_,602.615
net182,602.01
net260,600.51
net188,600.12
_05702_,599.835
_11136_,599.33
net91,598.13
net428,597.945
net396,597.41
net112,596.74
net221,596.18
_12290_,592.8
net327,592.49
net208,590.18
net455,589.04
_02370_,588.47
net30,588.13
net102,587.92
net42,586.78
_02311_,586.42
_05802_,585.94
net399,584.94
net484,583.5
_05417_,582.89
net266,581.38
_13162_,577.76
net292,575.7
net402,575.7
net234,575.52
_06962_,573.06
net522,572.84
net490,572.1
_06257_,571.52
net70,571.27
net138,570.91
net503,569.5
net115,569.48
net528,567.62
net421,566.24
net318,565.055
net73,564.45
net84,564.085
_10740_,563.99
net566,562.51
_05378_,562.21
_08661_,560.62
net144,559.02
net354,558.83
net529,558.34
net304,557.62
net223,557.43
net417,557.165
net336,556.14
net43,555.45
net68,555.32
net272,555.01
_05440_,554.68
net51,552.08
net439,551.8
net119,550.62
_05418_,549.15
net44,548.53
net46,548.14
net314,547.5
net242,547.275
net380,547.06
_07541_,546.69
_02306_,546.54
_03943_,546.14
net163,546.1
_05807_,545.56
_07031_,544.42
net454,544.4
_07027_,544.145
_02295_,543.64
net485,543.63
net409,543.27
net444,542.48
net345,542.3
net358,542.13
net281,540.7
net265,540.46
net564,540.17
net107,537.82
_06058_,536.92
net212,536.19
net186,535.77
net64,535.37
net369,533.18
net241,531.37
net478,530.94
net341,530.51
_07841_,528.515
net383,527.4
net342,526.8
net123,526.755
net120,526.71
net494,526.68
net1,526.62
net521,525.88
net420,524.905
_06195_,524.26
net571,524.19
net183,523.73
net136,523.24
net2,519.44
net190,518.9
net253,517.84
net275,517.6
_05579_,517.34
_05376_,516.24
net578,515.99
_06217_,515.38
net498,514.45
_06295_,512.045
_13046_,511.735
net406,511.08
_07411_,510.92
net357,510.35
_05379_,510.27
_06015_,510.06
net329,508.21
_07163_,506.99
net288,506.95
net33,506.88
net229,506.79
net240,506.14
net74,505.06
net194,504.85
_05886_,504.49
net367,504.1
_06031_,502.215
net534,501.78
_07852_,501.5
net573,501
net457,500.15
net477,499.85
net568,499.78
_05424_,499.2
net78,498.315
net75,498.14
net268,498.1
net108,497.33
net378,497.25
net289,496.26
net459,496.08
net487,495.72
net295,494.68
net303,494.09
net307,493.9
net225,493.81
net555,493.64
net539,493.42
net309,491.92
net110,489.09
_03780_,488.2
net298,488.12
net489,487.745
net146,485.86
net154,485.41
_05464_,484.915
net453,483.84
net209,483.34
net150,483.32
net331,482.71
net435,481.755
_05710_,481.285
_07869_,480.905
net561,480.2
net441,479.83
net461,479.8
net532,479.3
net297,478.69
net525,477.81
_06022_,477.51
net410,477.07
_07044_,476.46
_04615_,476.095
net178,476.05
net527,475.64
_07023_,474.78
net239,474.595
net346,474.34
net407,473.84
net364,471.9
net224,471.74
net549,470.02
net149,469.4
_05712_,469.275
net18,468.52
net226,468.49
_07848_,467.9
net601,467.05
_06098_,465.96
net294,465.68
net381,465.24
net538,464.96
net403,464.73
net137,463.675
_03887_,463.44
net604,463.01
net338,462.34
net250,461.62
net330,460.75
net464,460.61
_03941_,460.17
net486,459.27
net167,458.74
_05391_,458.56
_07799_,458.55
net398,458.06
net415,456.3
net516,456.2
net543,456.2
_12966_,456.04
net413,455.92
clk,455.75
_05432_,455.63
_02314_,455.33
net518,454.93
_07829_,454.615
_12650_,452.98
net215,452.08
net213,451.89
_05407_,451.62
net467,451.45
_05392_,451.36
net187,451.34
net104,450.76
net299,448.5
net511,448.11
_07039_,446.795
net258,446.38
_05582_,445.74
net447,444.94
net192,444.52
_05798_,443.51
net519,443.34
net177,443.13
net390,441.35
_08064_,441.06
_08362_,440.95
net219,439.73
net536,439.28
net66,439.22
net418,438.98
clknet_4_11__leaf_clk,438.52
_02322_,437.93
net24,437.56
net302,437.53
net130,437.16
net530,436.4
net360,436.22
net599,436.11
net204,435.25
net320,435.04
_11625_,433.17
_06183_,432.51
_05375_,432.46
net328,432
net462,431.92
_08059_,431.46
_07794_,431.33
net504,431.145
net446,430.42
net416,428.82
net387,428.74
_08638_,428.56
net37,428.18
net81,427.87
_02308_,426.87
net572,426.76
net524,426.5
_08016_,426.48
net362,426.195
net449,424.73
net196,424.5
_07589_,424.425
_07035_,424.255
net90,423.04
net156,422.82
_10952_,422.68
net437,422.59
_06106_,421.85
net287,421.815
net214,421.08
clknet_4_9__leaf_clk,420.68
net375,420.46
_04549_,420.24
_06489_,420.11
_10623_,420.11
net384,419.69
_05271_,419.42
net569,419.39
_12401_,418.77
_07804_,418.62
net533,418.24
net191,418.02
net339,417.67
_09328_,417.56
net523,417.29
net556,417.06
net356,416.455
_06379_,416.25
net363,415.56
net412,415.3
net374,414.58
net7,414.3
_07765_,413.735
net306,413.06
net193,412.79
_12711_,412.66
net159,412.32
net392,410.29
_07787_,409.53
_05397_,408.26
net414,408.06
_06169_,407.415
_02331_,407.29
_05855_,407.19
_05356_,406.945
net576,406.86
_06453_,406.57
_05658_,406.34
net373,405.71
net160,404.72
net135,404.55
net570,404.46
_10909_,402.92
net100,402.91
net520,401.79
net199,401.515
_05454_,399.79
net238,398.56
net499,398.1
